Country,Population,'% 'of' World,Date,Source
" Suriname
","616,500",0.008%,"1 Jul 2021
",#cite_note-197
" Western Sahara
","587,259",0.007%,"1 Jul 2023
",#cite_note-unpop-4
" Malta
","519,562",0.006%,"21 Nov 2021
",#cite_note-199
" Cape Verde
","491,233",0.006%,"16 Jun 2021
",#cite_note-200
" Brunei
","445,400",0.006%,"1 Jul 2022
",#cite_note-201
" Belize
","441,471",0.005%,"1 Jul 2022
",#cite_note-202
" Bahamas
","397,360",0.005%,"1 Jul 2022
",#cite_note-203
" Iceland
","396,960",0.005%,"1 Oct 2023
",#cite_note-204
" Northern Cyprus
","382,836",0.005%,"31 Dec 2020
",#cite_note-205
" Maldives
","382,751",0.005%,"13 Sep 2022
",#cite_note-207
" Transnistria
","360,938",0.004%,"31 Dec 2022
",#cite_note-208
" Vanuatu
","301,295",0.004%,"1 Jul 2021
",#cite_note-pacificdata-210
" French Polynesia (France)
","279,890",0.003%,"1 Jul 2021
",#cite_note-pacificdata-210
" New Caledonia (France)
","268,510",0.003%,"1 Jan 2023
",#cite_note-211
" Barbados
","267,800",0.003%,"31 Dec 2022
",#cite_note-212
" Abkhazia
","244,236",0.003%,"1 Jan 2022
",#cite_note-213
" São Tomé and Príncipe
","214,610",0.003%,"1 Jul 2021
",#cite_note-215
" Samoa
","205,557",0.003%,"6 Nov 2021
",#cite_note-216
" Saint Lucia
","178,696",0.002%,"1 Jul 2018
",#cite_note-217
" Guam (US)
","153,836",0.002%,"1 Apr 2020
",#cite_note-218
" Curacao (Netherlands)
","148,925",0.002%,"1 Jan 2023
",#cite_note-219
" Artsakh
","148,900",0.002%,"1 Oct 2019
",#cite_note-220
" Kiribati
","120,740",0.001%,"1 Jul 2021
",#cite_note-pacificdata-210
" Grenada
","112,579",0.001%,"1 Jul 2019
",#cite_note-223
" Saint Vincent and the Grenadines
","110,872",0.001%,"1 Jul 2022
",#cite_note-224
" Aruba (Netherlands)
","106,739",0.001%,"30 Sep 2022
",#cite_note-225
" Micronesia
","105,754",0.001%,"1 Jul 2021
",#cite_note-pacificdata-210
" Jersey (UK)
","103,267",0.001%,"21 Mar 2021
",#cite_note-226
" Antigua and Barbuda
","100,772",0.001%,"1 Jan 2022
",#cite_note-227
" Seychelles
","100,447",0.001%,"22 Apr 2022
",#cite_note-228
" Tonga
","100,179",0.001%,"1 Jan 2022
",#cite_note-229
" US Virgin Islands (US)
","87,146",0.001%,"1 Apr 2020
",#cite_note-230
" Isle of Man (UK)
","84,069",0.001%,"30 May 2021
",#cite_note-231
" Andorra
","83,523",0.001%,"30 Jun 2023
",#cite_note-232
" Cayman Islands (UK)
","71,105",0.0009%,"30 Sep 2020
",#cite_note-233
" Dominica
","67,408",0.0008%,"31 Dec 2017
",#cite_note-234
" Guernsey (UK)
","64,234",0.0008%,"30 Sep 2022
",#cite_note-235
" Bermuda (UK)
","64,055",0.0008%,"1 Jul 2021
",#cite_note-236
" Greenland (Denmark)
","56,865",0.0007%,"1 Jul 2023
",#cite_note-237
" South Ossetia
","56,520",0.0007%,"31 Dec 2021
",#cite_note-238
" Faroe Islands (Denmark)
","54,738",0.0007%,"1 Aug 2023
",#cite_note-240
" American Samoa (US)
","49,710",0.0006%,"1 Apr 2020
",#cite_note-241
" Northern Mariana Islands (US)
","47,329",0.0006%,"1 Apr 2020
",#cite_note-242
" Saint Kitts and Nevis
","47,195",0.0006%,"15 May 2011
",#cite_note-243
" Turks and Caicos Islands (UK)
","46,131",0.0006%,"1 Jul 2021
",#cite_note-244
" Sint Maarten (Netherlands)
","42,938",0.0005%,"1 Jan 2023
",#cite_note-245
" Marshall Islands
","42,418",0.0005%,"30 Sep 2021
",#cite_note-autogenerated1-246
" Liechtenstein
","39,680",0.0005%,"31 Dec 2022
",#cite_note-247
" Monaco
","39,050",0.0005%,"31 Dec 2022
",#cite_note-248
" Gibraltar (UK)
","34,003",0.0004%,"1 Jul 2016
",#cite_note-249
" San Marino
","33,881",0.0004%,"31 Jul 2023
",#cite_note-250
" Saint Martin (France)
","32,358",0.0004%,"1 Jan 2020
",#cite_note-auto-251
" British Virgin Islands (UK)
","31,538",0.0004%,"1 Jul 2023
",#cite_note-unpop-4
" Åland (Finland)
","30,532",0.0004%,"31 Aug 2023
",#cite_note-pxnet2.stat.fi-137
" Palau
","16,733",0.0002%,"1 Jul 2021
",#cite_note-252
" Anguilla (UK)
","15,701",0.0002%,"31 Dec 2021
",#cite_note-253
" Cook Islands
","15,040",0.0002%,"1 Jul 2021
",#cite_note-254
" Nauru
","11,832",0.0001%,"1 Jul 2021
",#cite_note-pacificdata-210
" Wallis and Futuna (France)
","11,369",0.0001%,"1 Jan 2021
",#cite_note-pacificdata-210
" Tuvalu
","10,679",0.0001%,"1 Jul 2021
",#cite_note-pacificdata-210
" Saint Barthélemy (France)
","10,585",0.0001%,"1 Jan 2020
",#cite_note-auto-251
" Saint Pierre and Miquelon (France)
","6,092",0%,"1 Jan 2020
",#cite_note-auto-251
" Saint Helena, Ascension and Tristan da Cunha (UK)
","5,651",0%,"1 Jul 2021
",#cite_note-255
" Montserrat (UK)
","4,433",0%,"1 Jul 2022
",#cite_note-258
" Falkland Islands (UK)
","3,662",0%,"10 Oct 2021
",#cite_note-259
" Norfolk Island (Australia)
","2,188",0%,"1 Jan 2021
",#cite_note-260
" Christmas Island (Australia)
","1,692",0%,"1 Jan 2021
",#cite_note-261
" Tokelau (NZ)
","1,647",0%,"1 Jan 2019
",#cite_note-262
" Niue
","1,549",0%,"1 Jul 2021
",#cite_note-pacificdata-210
"  Vatican City
",764,0%,"26 Jun 2023
",#cite_note-va-263
" Cocos (Keeling) Islands (Australia)
",593,0%,"30 Jun 2020
",#cite_note-265
" Pitcairn Islands (UK)
",47,0%,"1 Jul 2021
",#cite_note-266
